Experiment_ID,Model,Features,Hyperparameters,F1_macro,Accuracy,Precision_macro,Recall_macro,F1_positive,F1_negative,F1_neutral,Training_time_s,Notes
EXP_100,"5-fold stacking (3×NB+LR → meta-LR, raw)","raw tweet, char (2-5) max=80k, 5-fold CV","3×MNB + LR base, LR-C5 meta, 5-fold",0.6802,0.6792,0.6948,0.6724,0.6813,0.6892,0.67,159.3,
EXP_074,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.2,0.6759,0.678,0.7022,0.6661,0.6611,0.6902,0.6763,2.0,
EXP_099,Soft-vote ensemble (NB+LR raw),"raw tweet, char (2-5) max=80k",NB alpha=0.1 + LR C=5 soft vote (avg proba),0.6702,0.6689,0.6838,0.6628,0.6736,0.681,0.6559,48.4,
EXP_076,"MNB raw char (2, 4)","raw tweet, char (2, 4), max=60000",alpha=0.1,0.6701,0.6707,0.6889,0.6616,0.6622,0.6842,0.6637,1.4,
EXP_083,MNB raw char (2-5) max=50000,"raw tweet, char (2-5), max=50000",alpha=0.1,0.6696,0.6707,0.6869,0.6618,0.6587,0.687,0.6632,1.8,
EXP_073,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.1,0.6693,0.6695,0.6883,0.6609,0.664,0.6845,0.6593,1.9,
EXP_081,"MNB raw char (1, 6)","raw tweet, char (1, 6), max=150000",alpha=0.1,0.6691,0.6701,0.6929,0.6596,0.6603,0.6812,0.6657,2.5,
EXP_080,"MNB raw char (2, 7)","raw tweet, char (2, 7), max=150000",alpha=0.1,0.6671,0.6677,0.6885,0.6583,0.6603,0.6822,0.6588,2.9,
EXP_085,MNB raw char (2-5) max=200000,"raw tweet, char (2-5), max=200000",alpha=0.1,0.6661,0.6683,0.6934,0.656,0.65,0.6831,0.6652,1.9,
EXP_077,"MNB raw char (2, 6)","raw tweet, char (2, 6), max=100000",alpha=0.1,0.6655,0.6659,0.6836,0.6575,0.6595,0.6817,0.6553,2.1,
EXP_082,MNB raw char (2-5) max=30000,"raw tweet, char (2-5), max=30000",alpha=0.1,0.6653,0.6652,0.682,0.6572,0.6631,0.673,0.6599,2.0,
EXP_078,"MNB raw char (1, 5)","raw tweet, char (1, 5), max=100000",alpha=0.1,0.6652,0.6659,0.6853,0.6566,0.6586,0.6773,0.6598,2.0,
EXP_084,MNB raw char (2-5) max=120000,"raw tweet, char (2-5), max=120000",alpha=0.1,0.665,0.6652,0.6849,0.6564,0.6604,0.6779,0.6569,2.0,
EXP_087,LR raw C=1.0 nobal,"raw tweet, char (2-5), max=80k","C=1.0, balanced=False",0.6649,0.6671,0.6905,0.6548,0.6495,0.6762,0.669,26.6,
EXP_086,LR raw C=0.5 nobal,"raw tweet, char (2-5), max=80k","C=0.5, balanced=False",0.6647,0.6701,0.7061,0.653,0.6421,0.6648,0.687,22.5,
EXP_089,LR raw C=1.0 bal,"raw tweet, char (2-5), max=80k","C=1.0, balanced=True",0.663,0.6622,0.6652,0.6616,0.6675,0.6655,0.6561,22.9,
EXP_072,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.05,0.6626,0.6628,0.6797,0.6549,0.6569,0.68,0.6508,1.9,
EXP_075,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.5,0.6601,0.6677,0.711,0.6479,0.622,0.6777,0.6807,1.8,
EXP_088,LR raw C=5.0 nobal,"raw tweet, char (2-5), max=80k","C=5.0, balanced=False",0.6598,0.658,0.6712,0.6531,0.6684,0.6643,0.6466,38.8,
EXP_097,"MNB raw word(1, 3)+char(2, 6)","raw tweet, word (1, 3)+char (2, 6)",alpha=0.1,0.6588,0.6586,0.6723,0.6526,0.6562,0.6804,0.6399,2.7,
EXP_095,SVM raw C=0.5 bal,"raw tweet, char (2-5), max=80k","C=0.5, balanced=True",0.6579,0.6555,0.6603,0.6559,0.6707,0.6678,0.6353,2.2,
EXP_079,"MNB raw char (3, 6)","raw tweet, char (3, 6), max=100000",alpha=0.1,0.6573,0.6574,0.6715,0.6508,0.6535,0.676,0.6425,1.8,
EXP_090,LR raw C=5.0 bal,"raw tweet, char (2-5), max=80k","C=5.0, balanced=True",0.6564,0.6537,0.6578,0.6551,0.6722,0.6649,0.632,47.6,
EXP_098,Hard-vote ensemble (NB+LR+SVM raw),"raw tweet, char (2-5) max=80k",NB alpha=0.1 + LR C=5 + SVM C=1 hard vote,0.6536,0.6525,0.6628,0.6479,0.6557,0.6649,0.6401,43.9,
EXP_091,SVM raw C=0.5 nobal,"raw tweet, char (2-5), max=80k","C=0.5, balanced=False",0.6516,0.6507,0.6627,0.6452,0.653,0.6626,0.6393,2.2,
EXP_071,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.01,0.6511,0.6519,0.67,0.643,0.6415,0.6711,0.6406,1.8,
EXP_096,"MNB raw word(1, 2)+char(2, 5)","raw tweet, word (1, 2)+char (2, 5)",alpha=0.1,0.6506,0.6495,0.6629,0.6449,0.6545,0.6705,0.6269,2.2,
EXP_094,SVM raw C=1.0 bal,"raw tweet, char (2-5), max=80k","C=1.0, balanced=True",0.6477,0.6452,0.6489,0.6466,0.6611,0.6615,0.6205,2.2,
EXP_092,SVM raw C=1.0 nobal,"raw tweet, char (2-5), max=80k","C=1.0, balanced=False",0.6443,0.6434,0.6504,0.6402,0.6451,0.6603,0.6276,2.3,
EXP_070,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.001,0.6435,0.6446,0.6681,0.6341,0.6326,0.6622,0.6356,1.8,
EXP_093,SVM raw C=2.0 nobal,"raw tweet, char (2-5), max=80k","C=2.0, balanced=False",0.6345,0.6324,0.638,0.6318,0.6455,0.6443,0.6137,2.7,
