Experiment_ID,Model,Features,Hyperparameters,F1_macro,Accuracy,Precision_macro,Recall_macro,F1_positive,F1_negative,F1_neutral,Training_time_s,Notes
EXP_046,MultinomialNB (RAW text),"raw tweet, char TF-IDF (2, 5), max=80000",alpha=0.1,0.6693,0.6695,0.6883,0.6609,0.664,0.6845,0.6593,1.7,"Uses original tweet, not cleaned_text"
EXP_045,ComplementNB (RAW text),"raw tweet, char TF-IDF (2, 5), max=80000",alpha=0.1,0.6595,0.6586,0.6625,0.6585,0.6642,0.681,0.6334,1.7,"Uses original tweet, not cleaned_text"
EXP_047,ComplementNB (RAW text),"raw tweet, char TF-IDF (2, 6), max=100000",alpha=0.1,0.6576,0.6567,0.661,0.6564,0.6618,0.6793,0.6318,2.0,"Uses original tweet, not cleaned_text"
EXP_057,Stacking 5-fold CV (NB+CNB×2+LR → meta-LR),"char TF-IDF (2-5), 5-fold CV meta-features","4 base models, 5-fold CV, C=5 meta-LR",0.6491,0.6464,0.6621,0.6419,0.6633,0.65,0.6341,160.3,Proper CV-based stacking
EXP_044,MultinomialNB,"char TF-IDF (2, 6), max=100000",alpha=0.1,0.6449,0.6428,0.6561,0.639,0.6546,0.6589,0.6211,1.7,
EXP_041,MultinomialNB,"char TF-IDF (2, 5), max=50000",alpha=0.5,0.6432,0.6422,0.6709,0.6322,0.6473,0.6467,0.6358,1.4,
EXP_035,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=1.0,0.6425,0.6391,0.6475,0.6392,0.6642,0.6471,0.6162,1.5,
EXP_056,Stacking (NB+CNB+LR → meta-LR),"char+combined TF-IDF, val-set meta-train",4 base models → LR meta-learner,0.6418,0.6373,0.6506,0.636,0.6675,0.6447,0.6132,22.4,Meta-learner trained on val set predictions
EXP_034,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=0.5,0.64,0.6361,0.6405,0.6403,0.669,0.6505,0.6003,1.5,
EXP_040,MultinomialNB,"char TF-IDF (2, 5), max=50000",alpha=0.05,0.6396,0.6355,0.6509,0.6332,0.6632,0.6444,0.6111,1.4,
EXP_043,MultinomialNB,"char TF-IDF (2, 5), max=100000",alpha=0.1,0.637,0.6343,0.6502,0.63,0.6501,0.6476,0.6133,1.5,
EXP_039,MultinomialNB,"char TF-IDF (2, 5), max=50000",alpha=0.01,0.6341,0.6306,0.6492,0.6264,0.6526,0.6398,0.61,1.4,
EXP_037,ComplementNB,"char TF-IDF (2, 4), max=40000",alpha=0.1,0.6323,0.6276,0.6308,0.6349,0.6713,0.6437,0.5818,1.0,
EXP_054,MultinomialNB combined (word+char),word (1-2)+char (2-5) TF-IDF,alpha=0.1,0.631,0.627,0.6368,0.6273,0.6559,0.6398,0.5974,1.9,
EXP_031,ComplementNB,"char TF-IDF (2, 6), max=60000",alpha=0.1,0.6309,0.627,0.6303,0.6331,0.6635,0.6456,0.5837,1.6,
EXP_036,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=0.05,0.6277,0.6239,0.6275,0.6292,0.658,0.64,0.5852,1.4,
EXP_030,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=0.1,0.6275,0.6233,0.6273,0.6292,0.662,0.639,0.5816,1.4,
EXP_042,MultinomialNB,"char TF-IDF (2, 5), max=50000",alpha=1.0,0.6267,0.63,0.6768,0.6133,0.6136,0.6268,0.6399,1.4,
