Experiment_ID,Model,Features,Hyperparameters,F1_macro,Accuracy,Precision_macro,Recall_macro,F1_positive,F1_negative,F1_neutral,Training_time_s,Notes
EXP_048,"LogisticRegression (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercep",0.6252,0.6215,0.6448,0.6156,0.6471,0.6167,0.6117,14.5,
EXP_033,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=0.01,0.6251,0.6215,0.625,0.6262,0.6525,0.6405,0.5824,1.4,
EXP_055,ComplementNB combined (word+char),word (1-2)+char (2-5) TF-IDF,alpha=0.01,0.6223,0.6185,0.6214,0.6242,0.6518,0.6421,0.5728,1.9,
EXP_053,ComplementNB combined (word+char),word (1-2)+char (2-5) TF-IDF,alpha=0.1,0.6206,0.6166,0.6196,0.6235,0.655,0.6363,0.5705,1.8,
EXP_038,ComplementNB,"char TF-IDF (3, 5), max=50000",alpha=0.1,0.6197,0.616,0.6181,0.6232,0.652,0.6389,0.5682,1.1,
EXP_032,ComplementNB,"char TF-IDF (3, 6), max=60000",alpha=0.1,0.6171,0.6136,0.6153,0.6208,0.6483,0.6321,0.571,1.4,
EXP_052,"LinearSVC (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 0.5, 'class_weight': None, 'dual': 'auto', 'fit_interce",0.6155,0.61,0.6237,0.6099,0.6516,0.6079,0.587,1.8,
EXP_049,"LogisticRegression (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 5.0, 'class_weight': None, 'dual': False, 'fit_intercep",0.6135,0.6075,0.6212,0.6081,0.6533,0.6024,0.5846,12.7,
EXP_050,"LogisticRegression (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 10.0, 'class_weight': None, 'dual': False, 'fit_interce",0.6099,0.6045,0.6171,0.6048,0.645,0.6038,0.5808,28.6,
EXP_051,"LinearSVC (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 1.0, 'class_weight': None, 'dual': 'auto', 'fit_interce",0.6083,0.6027,0.6133,0.6045,0.6453,0.6062,0.5734,2.1,
EXP_058,"LR-L1 (saga, C=1.0, balanced, char)","char TF-IDF (2-5), max=50k","C=1.0, L1, saga, balanced",0.5927,0.5893,0.5898,0.5969,0.6272,0.5805,0.5703,24.5,
EXP_059,"LR-L1 (saga, C=5.0, balanced, char)","char TF-IDF (2-5), max=50k","C=5.0, L1, saga, balanced",0.5923,0.5869,0.5907,0.5943,0.6366,0.5957,0.5447,187.9,
EXP_060,"LR-L1 (saga, C=0.5, balanced, char)","char TF-IDF (2-5), max=50k","C=0.5, L1, saga, balanced",0.5411,0.5395,0.5396,0.5457,0.5702,0.5129,0.5401,16.6,
